,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
9392,0,2018,0.5,0.8660254038,6549792.453323,0,0,1,0,0,1,0,0,1,4969
759,0,2018,0.8660254038,-0.5,54195.771244,0,0,2,0,0,1,0,1,1,4941
7015,0,2018,0.8660254038,-0.5,416215.93547,1,0,2,0,0,1,0,0,1,4909
2029,0,2017,0.5,0.8660254038,39823070.039852,1,0,1,0,0,1,0,1,0,4864
862,0,2018,0.8660254038,-0.5,52293.866591,0,0,1,0,0,1,0,0,0,4844
5111,0,2018,0.8660254038,-0.5,405779.688178,0,0,1,0,0,1,0,0,1,4829
1003,0,2018,1,6.12323399573677E-17,1900987.534354,1,0,1,0,1,1,0,0,1,4783
630,0,2018,0.8660254038,-0.5,329986.120438,0,0,1,0,0,1,0,1,0,4782
3968,0,2018,0.8660254038,-0.5,328846.867632,0,0,1,0,0,1,0,1,0,4782
3990,0,2018,0.8660254038,-0.5,325290.51477,0,0,1,0,0,1,0,1,0,4782
58,0,2018,0.8660254038,-0.5,321320.625104,0,0,1,1,0,0,0,0,0,4749
1256,0,2018,0.8660254038,-0.5,572056.06548,0,0,0,0,1,1,12621,1,1,4715
1897,0,2018,0.8660254038,-0.5,522857.654779,1,0,1,0,0,1,0,0,1,4709
9657,0,2018,1,6.12323399573677E-17,1514139.900226,0,2,1,1,0,1,0,0,0,4660
2412,0,2018,0.8660254038,0.5,4120375.48819,0,0,1,1,0,1,0,0,0,4623
910,0,2018,0.8660254038,-0.5,177967.516339,1,1,1,0,0,1,0,1,0,4538
7146,0,2018,1,6.12323399573677E-17,903997.145433,0,0,3,0,0,1,0,0,1,4491
5056,0,2018,0.8660254038,-0.5,72420.789176,0,0,2,0,0,1,0,0,1,4480
9678,0,2018,0.8660254038,-0.5,9870.582222,0,0,1,1,0,1,0,0,0,4442
7134,0,2018,0.8660254038,-0.5,743019.107459,1,0,1,0,1,1,0,0,1,4436
1008,0,2018,1,6.12323399573677E-17,2026708.544391,0,0,1,0,0,1,0,1,0,4411
9210,0,2018,0.8660254038,-0.5,213508.669238,1,0,1,0,0,1,0,1,0,4401
4868,0,2018,1,6.12323399573677E-17,3346044.056728,0,0,1,0,0,1,0,0,0,4382
7300,0,2018,0.8660254038,-0.5,147750.558664,0,0,3,0,1,1,0,0,0,4375
9632,0,2018,1,6.12323399573677E-17,1227963.117371,0,0,3,0,0,1,0,0,0,4375
7116,0,2018,0.8660254038,-0.5,474500.759566,0,0,1,0,0,1,0,0,0,4313
7809,0,2018,0.8660254038,-0.5,167048.34984,0,0,1,1,0,1,0,0,0,4311
51,0,2018,0.8660254038,-0.5,296298.610325,0,0,1,0,0,1,0,1,0,4294
6697,0,2018,0.8660254038,0.5,3431566.741772,0,0,1,0,1,1,0,0,0,4287
7369,0,2018,0.8660254038,-0.5,309119.993643,1,0,1,0,1,1,0,0,0,4283
4108,0,2018,0.8660254038,-0.5,588733.112869,0,0,1,0,1,1,0,1,0,4220
3349,0,2018,0.8660254038,-0.5,439789.403932,0,1,1,0,0,1,0,0,0,4201
5024,0,2018,1,6.12323399573677E-17,910409.778113,0,0,2,0,0,1,0,0,0,4166
1885,0,2018,0.8660254038,-0.5,334411.322907,0,0,1,0,0,1,0,0,0,4156
10050,0,2018,0.8660254038,-0.5,54902.876694,0,0,1,0,0,1,0,0,2,4144
10275,0,2018,0.8660254038,-0.5,3116.089021,0,0,1,0,0,1,0,0,2,4144
9096,0,2018,0.8660254038,-0.5,43523.250514,0,0,1,0,0,1,0,0,2,4142
7990,0,2018,1,6.12323399573677E-17,1081107.046016,0,0,1,0,0,1,0,0,0,4141
3489,0,2018,1,6.12323399573677E-17,1892168.698347,0,0,1,0,0,1,0,1,1,4132
6437,0,2018,1,6.12323399573677E-17,2033985.883297,0,0,0,0,1,1,5452,0,0,4121
4489,0,2018,0.8660254038,-0.5,731666.374394,1,0,0,0,1,1,9650,1,1,4091
2920,0,2018,0.8660254038,-0.5,530776.221821,1,0,0,0,1,1,14264,0,0,4052
6646,0,2018,0.8660254038,-0.5,530505.338492,1,0,1,0,0,1,0,0,0,4052
599,0,2018,1,6.12323399573677E-17,1434940.532311,0,0,1,0,0,1,0,0,2,4045
8137,0,2018,0.8660254038,-0.5,408423.986203,0,0,2,0,0,1,0,0,0,4040
4152,0,2018,1,6.12323399573677E-17,1351425.88735,0,0,1,1,0,1,0,0,0,4023
10049,0,2018,0.8660254038,-0.5,54884.874202,0,0,1,0,0,1,0,1,2,4016
5518,0,2018,1,6.12323399573677E-17,1082676.173902,0,0,1,1,0,1,0,0,0,3971
868,0,2018,0.8660254038,-0.5,81050.878392,1,0,1,0,1,1,0,0,0,3949
2725,0,2018,0.8660254038,-0.5,79284.931554,1,0,1,0,1,1,0,0,0,3949
7774,0,2018,0.8660254038,-0.5,82154.018067,1,0,1,0,1,1,0,0,0,3949
9218,0,2018,0.8660254038,-0.5,246770.250715,0,0,1,0,1,1,0,0,0,3909
3234,0,2018,1,6.12323399573677E-17,1116683.92225,0,0,1,0,0,1,0,0,1,3886
8527,0,2018,0.8660254038,-0.5,212781.940385,1,0,1,0,0,1,0,0,1,3874
4488,0,2018,0.8660254038,-0.5,683303.371817,0,0,1,0,0,1,0,0,0,3862
